buff_id,ca_nvc_17,ca_agri_17,pland_urban_17,ca_urban_17,shdi_17,pland_nvc_06,pland_agri_06,ca_nvc_06,ca_agri_06,pland_urban_06,ca_urban_06,shdi_06,code_muni,code_sc,code_uf,total_estab_06,agrifam_06,perc_agrifam_06,area_estab_06,agrifam_area_06,perc_area_agrifam_06,total_estab_17,agrifam_17,perc_agrifam_17,area_estab_17,agrifam_area_17,perc_area_agrifam_17,pop_rural_WP_06,pop_rural_WP_17,pop_urb_mun_06,pop_urb_mun_17,vari_perc_nvc,vari_area_nvc,vari_total_pop_rural,vari_perc_pop_rural,vari_estab_agrifam,vari_perc_estab_agrifam,vari_area_agrifam,vari_perc_area_agrifam,vari_total_pop_urb,vari_perc_pop_urb,cat_change,mun_area_ha,pland_nvc_17
4574,4312.23740208608,3437.09796972091,0.209092608167461,16.4151690656362,0.877754954911135,79.2834781796094,19.0694794878983,6224.2836312398,1497.08175975705,0,0,0.861228644929287,2307007,230700710000007,23,1878,1689,89.9361022364217,59648,21726,36.4236856223176,2648,1442,54.4561933534743,49671,13717,27.6157113808862,532.877335548401,574.903837919235,17521.3332258086,19290.8928413549,-24.3552004485562,-1912.04622915372,42.0265023708344,7.88671230079312,-247,-35.4799088829474,-9977,-8.87479733744492,1769.55961554631,10.0994575740377,PG,90244.3142696689,54.9282777310532
4575,1839.23257419216,5978.33120982055,0.346954510408635,27.2363419692397,1.06274664089104,23.5999158898156,75.7961262587323,1852.62148303899,5950.08611444505,0.306067615242634,24.0266720402047,0.979936475168412,2701605,270160505000016,27,1860,1615,86.8279569892473,42369,29537,69.713705775449,1692,1456,86.0520094562648,38247,24863,65.0064057311685,2087.89244449139,1917.56933605671,3005.043688837,3024.48253164624,-0.170556762692442,-13.3889088468263,-170.323108434677,-8.15765720519039,-159,-0.775947532982528,-4122,-7.81805645086706,19.4388428092338,0.646873883446176,PP,59784.6795987464,23.4293591271232
4576,7520.07323401873,162.5927081194,0,0,0.878385813303685,94.7128638848652,2.6447362272791,7435.24624303709,207.619791981006,0,0,0.865248225823602,2207009,220700905000033,22,3360,3041,90.5059523809524,96615,57021,59.0187859028101,3588,2900,80.82497212932,93896,58371,62.1655874584647,104.598516136408,101.534591794014,22008.6013201342,23190.1474702183,1.08055698331846,84.8269909816363,-3.06392434239388,-2.92922352588462,-141,-9.68098025163242,-2719,0.48918347105591,1181.54615008407,5.36856537540689,GP,275970.076643434,95.7934208681837
4577,1681.04169911831,5924.95898414351,2.48712047756451,195.239636540444,0.754875354188924,24.8326538241376,72.9162042499504,1949.37010518563,5723.9419417308,2.12497517552365,166.811131454705,0.835400383892691,2925907,292590705000019,29,4813,4255,88.406399335134,107646,58167,54.0354495290118,4268,3557,83.3411433926898,82712,53043,64.129751426637,1525.34982442856,1646.98062098026,5422.52548307561,5813.96848847301,-3.41818436700508,-268.328406067318,121.630796551704,7.97396076649308,-698,-5.06525594244422,-24934,-3.69414016557032,391.4430053974,7.21883201137817,PG,138706.160847823,21.4144694571325
4578,4264.73428713634,3569.97830478294,0,0,1.21446522536799,41.0501109683448,58.5071837402173,3222.78372331647,4593.3127830144,0,0,1.31991909007683,2501609,250160905000011,25,1356,1024,75.5162241887906,47350,15173,32.0443505807814,1484,1140,76.8194070080862,53837,20208,37.5355238962052,816.131517410278,902.899533867836,6291.65243811404,6923.02750398641,13.2718140404159,1041.95056381987,86.7680164575577,10.6316218166512,116,1.30318281929569,6487,6.19044304067834,631.375065872371,10.0351230790751,GG,81335.0509311572,54.3219250087607
4579,6734.07092082561,1103.66793131246,0,0,0.778832634580965,81.1977992453889,18.6643615592183,6374.49618391858,1465.26017503202,0,0,0.806360340414864,2610400,261040015000008,26,1939,1585,81.7431665807117,134193,64191,47.8348349019696,1917,1461,76.2128325508607,107283,53201,49.5894037265923,359.577151536942,417.073470115662,6970.18769025169,7394.55703345083,4.58023292487761,359.574736907031,57.4963185787201,15.9899811022373,-124,-5.53033402985099,-26910,-4.10675101638282,424.369343199142,6.08834886602341,GG,267608.139771762,85.7780321702665
4580,5236.98916106825,2605.79345810066,0,0,0.940371658174544,73.5124401354982,26.4817194253007,5771.35335182498,2079.0407703185,0,0,0.897153304813105,2921500,292150005000025,29,8516,7768,91.2165335838422,138410,92315,66.6967704645618,6488,5548,85.5117139334155,116210,76129,65.5098528525944,462.596577644348,333.172018170357,9155.70335100441,8697.07632040629,-6.80644784487797,-534.364190756728,-129.424559473991,-27.9778462981832,-2220,-5.70481965042664,-22200,-4.92557866967581,-458.627030598122,-5.00919495767421,PP,328611.135573748,66.7059922906202
4581,3501.19966344647,4336.90600811207,0,0,1.09477887560037,22.4339131145817,76.456364549628,1761.19174248905,6002.26617700564,0,0,1.13146929103031,2306900,230690020000008,23,2645,2194,82.9489603024575,147874,43765,29.596142661996,2698,1898,70.3484062268347,99432,33288,33.4781559256577,238.039727270603,250.619543790817,15471.6972114485,15210.8058829118,22.1640753676686,1740.00792095742,12.5798165202141,5.28475505515655,-296,-12.6005540756228,-48442,-5.39107154752131,-260.891328536743,-1.68624892906831,GG,194339.843343706,44.5979884822503
4582,6805.14218353996,506.577619656836,0.654136831407913,51.3547188645597,1.09703629346161,86.5890268546531,7.93958579121354,6797.89749998585,623.317900218593,0.617925685383546,48.5118683559858,1.07532603413646,2303709,230370915000004,23,3564,2651,74.3827160493827,43559,10684,24.5276521499575,2699,1654,61.2819562801037,22799,4221,18.513969910961,1323.85941568017,1536.79615235329,266108.38903989,350400.094621865,0.09228001728782,7.24468355410772,212.936736673117,16.084542977225,-997,-13.100759769279,-20760,-5.08181810850949,84291.7055819749,31.6757039814101,GG,127178.892711207,86.6813068719409
4583,4889.15264561631,2832.21274538047,0.227769147208952,17.8824467474806,1.20636122037752,63.2111945615736,36.0868092462593,4962.79164427388,2833.22149878673,0.12731711305526,9.99582920756608,1.20250239835468,2612208,261220805000058,26,1765,1619,91.728045325779,75053,41229,54.9331805524096,1988,1397,70.271629778672,51624,27729,53.7133891213389,617.881352484226,650.082327842712,43038.4099301403,47808.1162567343,-0.937941667737405,-73.638998657575,32.2009753584862,5.21151435126184,-222,-21.456415547107,-23429,-7.74456295526731,4769.70632659399,11.0824408576807,PG,174315.840389912,62.2732528938362
